Week_Start,Bull_Bear,High_Day,Low_Day
2020-01-28,Bearish,Wednesday,Friday
2020-02-04,Bullish,Monday,Tuesday
2020-02-11,Bullish,Thursday,Tuesday
2020-02-18,Bearish,Wednesday,Monday
2020-02-25,Bearish,Tuesday,Friday
2020-03-03,Bearish,Tuesday,Monday
2020-03-10,Bearish,Tuesday,Monday
2020-03-17,Bearish,Tuesday,Monday
2020-03-24,Bullish,Thursday,Tuesday
2020-03-31,Bullish,Monday,Wednesday
2020-04-07,Bullish,Thursday,Tuesday
2020-04-14,Bullish,Friday,Wednesday
2020-04-21,Bullish,Monday,Tuesday
2020-04-28,Bearish,Wednesday,Monday
2020-05-05,Bullish,Monday,Wednesday
2020-05-12,Bullish,Monday,Thursday
2020-05-19,Bullish,Wednesday,Tuesday
2020-05-26,Bullish,Thursday,Wednesday
2020-06-02,Bullish,Monday,Tuesday
2020-06-09,Bearish,Wednesday,Monday
2020-06-16,Bearish,Friday,Tuesday
2020-06-23,Bearish,Tuesday,Monday
2020-06-30,Bullish,Monday,Tuesday
2020-07-07,Bearish,Monday,Thursday
2020-07-14,Bullish,Monday,Tuesday
2020-07-21,Bearish,Thursday,Friday
2020-07-28,Bullish,Monday,Thursday
2020-08-04,Bullish,Monday,Tuesday
2020-08-11,Bullish,Wednesday,Tuesday
2020-08-18,Bullish,Monday,Thursday
2020-08-25,Bullish,Monday,Tuesday
2020-09-01,Bearish,Wednesday,Friday
2020-09-08,Bullish,Thursday,Friday
2020-09-15,Bearish,Wednesday,Monday
2020-09-22,Bullish,Monday,Thursday
2020-09-29,Bullish,Monday,Friday
2020-10-06,Bullish,Monday,Tuesday
2020-10-13,Bearish,Tuesday,Monday
2020-10-20,Bearish,Monday,Monday
2020-10-27,Bearish,Tuesday,Friday
2020-11-03,Bullish,Monday,Tuesday
2020-11-10,Bullish,Monday,Tuesday
2020-11-17,Bearish,Tuesday,Thursday
2020-11-24,Bullish,Friday,Monday
2020-12-01,Bullish,Friday,Wednesday
2020-12-08,Bearish,Wednesday,Friday
2020-12-15,Bullish,Friday,Monday
2020-12-22,Bullish,Monday,Tuesday
2020-12-29,Bearish,Monday,Monday
2021-01-05,Bullish,Friday,Tuesday
2021-01-12,Bearish,Thursday,Friday
2021-01-19,Bullish,Thursday,Tuesday
2021-01-26,Bearish,Tuesday,Friday
2021-02-02,Bullish,Monday,Tuesday
2021-02-09,Bullish,Friday,Wednesday
2021-02-16,Bearish,Tuesday,Monday
2021-02-23,Bullish,Wednesday,Friday
2021-03-02,Bearish,Tuesday,Thursday
2021-03-09,Bullish,Monday,Tuesday
2021-03-16,Bearish,Wednesday,Friday
2021-03-23,Bullish,Monday,Thursday
2021-03-30,Bullish,Monday,Tuesday
2021-04-06,Bullish,Monday,Tuesday
2021-04-13,Bullish,Friday,Wednesday
2021-04-20,Bullish,Monday,Tuesday
2021-04-27,Bullish,Thursday,Friday
2021-05-04,Bullish,Friday,Tuesday
2021-05-11,Bullish,Friday,Wednesday
2021-05-18,Bullish,Monday,Wednesday
2021-05-25,Bearish,Friday,Tuesday
2021-06-01,Bullish,Tuesday,Thursday
2021-06-08,Bullish,Monday,Tuesday
2021-06-15,Bearish,Tuesday,Friday
2021-06-22,Bullish,Monday,Tuesday
2021-06-29,Bullish,Friday,Tuesday
2021-07-06,Bullish,Monday,Thursday
2021-07-13,Bearish,Wednesday,Monday
2021-07-20,Bullish,Monday,Tuesday
2021-07-27,Bearish,Thursday,Tuesday
2021-08-03,Bullish,Friday,Tuesday
2021-08-10,Bullish,Monday,Tuesday
2021-08-17,Bullish,Monday,Thursday
2021-08-24,Bullish,Monday,Thursday
2021-08-31,Bullish,Thursday,Tuesday
2021-09-07,Bearish,Tuesday,Monday
2021-09-14,Bearish,Wednesday,Monday
2021-09-21,Bullish,Thursday,Tuesday
2021-09-28,Bearish,Tuesday,Monday
2021-10-05,Bullish,Thursday,Wednesday
